@RELATION leaves

@ATTRIBUTE area  NUMERIC
@ATTRIBUTE diameter  NUMERIC
@ATTRIBUTE perimeter  NUMERIC
@ATTRIBUTE bending_energy  NUMERIC
@ATTRIBUTE center_of_mass_x  NUMERIC
@ATTRIBUTE center_of_mass_y NUMERIC
@ATTRIBUTE number_of_peaks NUMERIC
@ATTRIBUTE fourier1  NUMERIC
@ATTRIBUTE fourier2  NUMERIC
@ATTRIBUTE fourier3  NUMERIC
@ATTRIBUTE fourier4  NUMERIC
@ATTRIBUTE fourier5  NUMERIC
@ATTRIBUTE fourier6  NUMERIC
@ATTRIBUTE fourier7  NUMERIC
@ATTRIBUTE fourier8  NUMERIC
@ATTRIBUTE fourier9  NUMERIC
@ATTRIBUTE fourier10  NUMERIC
@ATTRIBUTE fourier11  NUMERIC
@ATTRIBUTE fourier12  NUMERIC
@ATTRIBUTE fourier13  NUMERIC
@ATTRIBUTE fourier14  NUMERIC
@ATTRIBUTE fourier15  NUMERIC
@ATTRIBUTE fourier16  NUMERIC
@ATTRIBUTE fourier17  NUMERIC
@ATTRIBUTE fourier18  NUMERIC
@ATTRIBUTE fourier19  NUMERIC
@ATTRIBUTE fourier20  NUMERIC
@ATTRIBUTE fourier21  NUMERIC

@ATTRIBUTE class  {ag, bg, cg, lg, me, pe}

@DATA
52638.000000, 555.512084, 1354.621372, 49.333062, 163.099363, 352.819034, 516.000000, 27.658081, 39.225154, 67.362584, 95.221919, 152.186410, 249.832270, 359.740033, 576.078551, 1745.161095, 8807.277540, 898673.410328, 5305.735920, 1236.468495, 736.635414, 403.462291, 238.153485, 130.900586, 102.699860, 66.417239, 39.121198, 25.691738, lg
78528.000000, 683.961635, 1652.813360, 50.458388, 174.121434, 396.370773, 602.000000, 38.103804, 58.907085, 101.649173, 148.628514, 248.065572, 368.048764, 491.616377, 843.696129, 2032.174200, 9833.516425, 1287575.372645, 7041.413139, 1717.053808, 824.737281, 488.239351, 351.772392, 227.914863, 151.827734, 95.975303, 59.911020, 35.023576, lg
84171.000000, 716.048010, 1707.844383, 54.396068, 232.235140, 406.544301, 652.000000, 35.008250, 69.889859, 103.240835, 160.851198, 242.127416, 406.739384, 581.358547, 796.880688, 2690.733891, 14224.451471, 1428697.605280, 6019.742859, 1762.690511, 820.266805, 586.787368, 339.640327, 213.936013, 163.861229, 97.603424, 62.788016, 28.747845, lg
30164.000000, 420.807907, 1008.396244, 54.289647, 129.147418, 269.649603, 353.000000, 14.087063, 28.426636, 45.237756, 60.179300, 111.002645, 172.229434, 256.706499, 492.860028, 1556.687518, 7761.498970, 504792.367927, 2437.633173, 751.121147, 445.865405, 250.195294, 140.644744, 85.080049, 61.274268, 43.319625, 23.616736, 8.236827, lg
83965.000000, 712.440160, 1681.890581, 53.932072, 171.461548, 381.587028, 637.000000, 37.553448, 60.174309, 98.938335, 159.523951, 253.370779, 377.768459, 599.033477, 821.240301, 2511.682845, 12967.291581, 1323979.915409, 5481.865092, 1533.277088, 867.040158, 541.477845, 340.309460, 214.379329, 156.352704, 99.820421, 55.042752, 28.612438, lg
28617.000000, 392.244214, 884.896901, 20.406074, 130.334717, 272.378369, 327.000000, 17.044537, 24.288392, 38.175805, 65.663163, 91.741343, 160.562109, 227.747034, 335.902774, 921.614199, 5321.095387, 429944.028414, 930.938667, 524.552928, 255.958892, 230.108048, 118.426809, 68.380838, 49.693275, 30.585579, 18.883654, 7.209071, lg
49818.000000, 534.957080, 1218.497424, 30.928558, 137.298918, 306.379214, 418.000000, 18.124140, 33.736317, 52.564429, 101.469811, 164.160100, 246.236722, 320.269030, 578.665971, 1690.749039, 5836.000712, 734862.575074, 2757.688729, 913.471675, 519.295690, 361.147486, 204.043486, 124.177326, 100.795326, 49.258371, 29.694374, 13.915483, lg
66222.000000, 648.982295, 1483.908224, 38.910692, 181.753962, 350.741288, 530.000000, 28.703241, 53.694313, 83.288651, 131.145319, 218.397243, 319.643400, 478.624632, 672.264531, 1770.093614, 8035.416977, 1060200.865854, 5128.676653, 1398.167528, 748.156998, 468.290141, 301.239904, 201.721701, 133.035318, 82.859075, 49.560423, 25.584358, lg
433334.000000, 1486.722497, 3368.601607, 49.788165, 342.538309, 788.908315, 1558.000000, 102.064752, 178.693225, 345.260281, 458.564765, 687.974750, 812.608198, 1376.619100, 1655.214129, 2561.744257, 8921.607120, 5350175.247185, 4642.244904, 2162.096075, 1680.716989, 1381.839804, 771.619543, 668.856834, 412.736588, 318.146454, 169.751272, 80.901860, me
554113.000000, 1886.594407, 4064.915295, 61.603564, 391.108219, 983.667647, 2330.000000, 148.780456, 197.897228, 352.525416, 557.403251, 999.528298, 1246.084556, 1522.075561, 1857.750433, 2795.966953, 8578.878016, 7936576.894799, 7023.844179, 2693.204159, 1960.302465, 1559.835126, 1195.555624, 978.554607, 568.507323, 343.794950, 199.294539, 144.870243, me
595963.000000, 2130.279869, 4512.497213, 90.610747, 318.328209, 1118.885023, 2152.000000, 143.808658, 220.239816, 437.498088, 585.223761, 1148.477132, 1562.133367, 2757.311044, 2398.430799, 3984.991514, 11358.990543, 10092491.809258, 6543.135828, 3585.079837, 2465.978652, 2609.146688, 1768.262529, 864.956680, 592.420036, 385.850552, 212.983625, 133.902791, me
685811.000000, 129.952041, 312.424354, 4.353843, 301.806938, 107.526247, 126.000000, 1.644372, 3.014063, 4.800286, 17.417662, 21.654549, 15.940706, 29.946142, 48.065756, 152.958954, 819.416025, 114698.215882, 183.072893, 92.598278, 61.900839, 25.432862, 11.987692, 19.548670, 14.348596, 3.927876, 2.137958, 1.026468, me
829758.000000, 2167.570609, 4879.611462, 85.690808, 437.026033, 1099.243216, 2495.000000, 199.662535, 328.289327, 629.517272, 1093.931662, 1275.815951, 1393.813885, 2178.484611, 2674.768863, 4148.710049, 15727.080032, 10798518.752953, 12906.838405, 4050.864661, 2820.422091, 2124.186308, 1381.714099, 1273.254634, 1091.691631, 626.288933, 328.195131, 193.106180, me
601575.000000, 1907.671763, 4120.112593, 77.055316, 412.634391, 968.529688, 1743.000000, 121.269553, 294.845290, 442.784996, 598.730732, 934.782675, 1685.776167, 1691.903105, 1902.418851, 3522.946382, 10847.357089, 7940203.330883, 5134.648036, 3134.339812, 1896.069045, 1692.268299, 1630.394295, 840.388391, 574.291969, 446.973079, 272.881554, 101.271766, me
644748.000000, 1864.252172, 4086.412235, 74.636557, 375.768801, 929.177729, 1976.000000, 116.832218, 284.827129, 468.416003, 782.527136, 885.254708, 1263.138131, 2047.680290, 2254.597889, 3122.034838, 10577.870094, 7677345.354318, 6536.937255, 2905.903848, 2424.560495, 1946.238891, 1229.236844, 878.109332, 758.942393, 445.193536, 268.004238, 98.541148, me
503513.000000, 1833.801503, 3942.584864, 70.034843, 462.086392, 917.943411, 2113.000000, 114.660038, 320.003445, 283.461081, 635.033973, 1002.921685, 1146.938594, 1789.799845, 2102.041963, 2413.393827, 8276.997418, 7482817.873783, 5084.330592, 1914.779003, 2279.607771, 1761.129972, 1125.582702, 1016.148648, 636.869401, 283.657929, 317.092193, 111.594870, me
411550.000000, 197.555076, 426.606265, 5.707523, 515.672082, 113.795588, 215.000000, 7.989646, 14.972380, 9.198264, 12.344959, 22.658248, 30.028695, 61.784555, 50.756702, 230.843402, 2506.839348, 241957.936763, 167.882498, 107.355448, 72.187125, 42.290322, 22.440140, 13.670119, 10.428683, 16.258713, 8.139796, 1.074091, me
398473.000000, 114.527642, 259.594503, 5.425904, 597.433655, 64.210178, 115.000000, 2.117989, 2.330292, 4.504423, 14.234723, 18.017207, 25.079917, 36.769722, 27.270746, 129.488159, 1841.287968, 159560.644187, 156.363557, 61.591743, 49.185672, 16.446695, 25.043513, 13.594274, 8.526018, 2.428599, 1.356382, 0.861905, me
90219.000000, 436.784393, 1189.248248, 18.516482, 302.565828, 422.820387, 513.000000, 28.847415, 49.134690, 64.169447, 88.601390, 156.598946, 221.359276, 237.589360, 337.234970, 621.408689, 2752.504469, 828684.880295, 1318.328732, 517.793188, 347.614236, 261.759621, 208.875073, 144.038072, 80.741073, 65.369391, 40.831345, 20.733379, pe
616565.000000, 1543.883578, 4061.465254, 63.871256, 568.094400, 746.945579, 2034.000000, 102.913125, 271.036265, 436.058209, 494.210427, 915.250045, 1174.630010, 1957.537813, 2068.584936, 3874.089667, 10308.301957, 7031833.343910, 5968.840620, 3571.541974, 2253.918450, 1957.408820, 1097.398710, 912.011944, 482.915603, 433.231329, 259.688965, 90.331596, pe
465754.000000, 166.990487, 362.077832, 3.422526, 472.963681, 101.984888, 144.000000, 1.826902, 3.203142, 3.925412, 8.812507, 16.485611, 22.474160, 35.581664, 48.819061, 186.539866, 1105.037113, 199791.485618, 206.391458, 132.569939, 67.575895, 33.569624, 19.575484, 12.174191, 8.571424, 4.550244, 2.658325, 1.137273, pe
613578.000000, 101.587068, 228.649430, 2.691878, 384.123900, 43.229465, 73.000000, 1.267759, 2.329519, 4.125383, 7.460158, 7.915276, 12.706864, 32.763246, 32.147990, 84.152030, 912.993860, 80367.774514, 87.873204, 50.586485, 41.656734, 23.811051, 8.332293, 10.394593, 3.982208, 3.015853, 1.747792, 0.429783, pe
277542.000000, 55.803115, 137.440958, 2.101749, 263.368302, 30.039911, 51.000000, 0.693554, 1.080946, 3.828073, 4.507198, 7.443182, 8.332983, 5.155385, 12.858868, 71.761203, 2686.403751, 32715.102952, 33.913986, 30.817364, 13.785276, 8.843420, 6.184374, 5.781387, 3.068378, 1.364770, 0.584400, 0.000000, pe
293462.000000, 22.134356, 67.691512, 1.202542, 542.436332, 189.016672, 16.000000, 0.214859, 0.392002, 0.227703, 0.707817, 1.918098, 3.659154, 1.271027, 4.186799, 30.011338, 660.861481, 35049.976260, 8.471220, 15.769526, 6.490601, 0.661016, 0.917124, 1.207264, 0.615993, 0.107521, 0.102859, 0.032830, pe
522192.000000, 31.393920, 87.646196, 1.219528, 400.531958, 24.851651, 16.000000, 0.278130, 0.465340, 0.312322, 0.976058, 2.658540, 4.470517, 2.318251, 5.845049, 54.185133, 1168.978454, 32680.646073, 18.274309, 20.152896, 10.358381, 1.236642, 1.390904, 1.403496, 0.958833, 0.153450, 0.156692, 0.031018, pe
627840.000000, 310.141907, 656.041470, 21.563423, 466.733326, 158.042128, 297.000000, 9.364344, 18.009999, 16.100198, 28.818266, 93.540414, 165.291745, 108.789162, 93.514495, 276.478530, 1672.663964, 404490.821490, 295.973105, 215.120783, 116.161283, 131.061718, 125.586727, 90.025438, 24.019439, 16.840420, 16.099699, 6.244156, pe
736536.000000, 1867.292510, 4790.201068, 65.847472, 582.975213, 928.139199, 2237.000000, 175.287503, 291.243053, 454.020574, 655.736771, 987.328825, 1602.698714, 2211.913716, 2947.519531, 4594.365468, 13711.335622, 10120559.716100, 9769.515250, 4381.333330, 2944.536075, 2285.977554, 1554.233703, 961.973012, 662.819386, 443.816228, 288.925448, 160.724183, pe
763268.000000, 416.609292, 870.840728, 16.192518, 656.872616, 226.949171, 306.000000, 10.362680, 17.445185, 34.450398, 48.710418, 93.353570, 119.962176, 234.422344, 246.308433, 669.997026, 2750.887639, 769348.161747, 490.157875, 522.221566, 258.149498, 188.506406, 91.409684, 81.765957, 47.253487, 23.456993, 14.087839, 5.271076, pe
513963.000000, 45.974385, 117.596253, 1.741914, 252.991245, 35.888442, 53.000000, 0.865623, 1.914365, 3.844518, 4.125446, 5.705985, 7.137562, 12.977963, 70.233586, 29148.302028, 516.897639, 39.368621, 23.057909, 7.099603, 3.808114, 4.613768, 2.597401, 1.544847, 0.346918, 0.000000, 0.000000, 0.000000, pe
671047.000000, 1693.877983, 4579.294757, 75.605948, 561.255820, 842.173024, 2225.000000, 220.812937, 310.124113, 529.613652, 640.393268, 792.571625, 1704.530147, 1899.308408, 2101.522536, 3858.385947, 17196.106788, 8659099.207134, 9180.002653, 3100.605609, 2267.214824, 1879.530366, 1637.493332, 736.065258, 642.073706, 517.130910, 307.496080, 199.540894, pe
