@RELATION leaves

@ATTRIBUTE area  NUMERIC
@ATTRIBUTE diameter  NUMERIC
@ATTRIBUTE perimeter  NUMERIC
@ATTRIBUTE bending_energy  NUMERIC
@ATTRIBUTE center_of_mass_x  NUMERIC
@ATTRIBUTE center_of_mass_y NUMERIC
@ATTRIBUTE fourier1  NUMERIC
@ATTRIBUTE fourier2  NUMERIC
@ATTRIBUTE fourier3  NUMERIC
@ATTRIBUTE fourier4  NUMERIC
@ATTRIBUTE fourier5  NUMERIC
@ATTRIBUTE fourier6  NUMERIC
@ATTRIBUTE fourier7  NUMERIC
@ATTRIBUTE fourier8  NUMERIC
@ATTRIBUTE fourier9  NUMERIC
@ATTRIBUTE fourier10  NUMERIC
@ATTRIBUTE fourier11  NUMERIC
@ATTRIBUTE fourier12  NUMERIC
@ATTRIBUTE fourier13  NUMERIC
@ATTRIBUTE fourier14  NUMERIC
@ATTRIBUTE fourier15  NUMERIC
@ATTRIBUTE fourier16  NUMERIC
@ATTRIBUTE fourier17  NUMERIC
@ATTRIBUTE fourier18  NUMERIC
@ATTRIBUTE fourier19  NUMERIC
@ATTRIBUTE fourier20  NUMERIC
@ATTRIBUTE fourier21  NUMERIC

@ATTRIBUTE class  {ag, bg, cg, lg, me, pe}

@DATA
54555.000000, 379.222890, 982.028571, 231.875000, 204.379731, 272.921856, 235.929712, 371.664837, 289.407173, 280.107363, 301.901699, 257.572273, 301.855255, 309.110801, 530.597031, 4776.079148, 449923.488967, 519.578039, 411.611971, 283.689072, 329.375589, 262.884570, 287.143300, 269.063393, 306.917524, 339.370581, 98.395141, cg
164739.000000, 858.028554, 1978.243866, 462.750000, 248.806786, 484.812536, 780.658670, 846.747115, 952.609465, 941.769382, 872.461498, 879.910916, 854.004243, 1024.214904, 1383.386736, 4356.796864, 1723751.558357, 2338.767615, 1250.170581, 988.660771, 888.643462, 839.793868, 866.254751, 970.052193, 911.450715, 843.949277, 750.640784, cg
99704.000000, 603.477423, 1428.923015, 325.125000, 233.995138, 414.320908, 503.632041, 521.064873, 508.333277, 514.701093, 494.419514, 544.267397, 582.798489, 589.777472, 923.458046, 3153.370636, 983856.319746, 2152.632653, 809.982622, 619.314756, 635.116581, 502.615263, 497.820005, 517.809796, 509.344141, 534.775487, 459.562956, cg
37229.000000, 376.132955, 887.979797, 221.750000, 151.826649, 244.864166, 320.042539, 287.287997, 201.318950, 251.216416, 277.437793, 216.611846, 276.881806, 271.412155, 434.503549, 1898.395431, 377675.253965, 798.104320, 438.118367, 286.958487, 267.982881, 234.706216, 263.496540, 262.936171, 208.064841, 271.444753, 284.751632, cg
102377.000000, 618.864282, 1473.047907, 376.875000, 216.418457, 387.619730, 594.217533, 541.530502, 575.855659, 531.379252, 592.388094, 496.722536, 592.986038, 574.187807, 808.425507, 2805.050633, 963963.740934, 1195.994668, 655.856954, 591.652860, 642.377803, 519.854555, 566.276997, 522.956920, 578.102051, 520.702166, 581.986283, cg
87804.000000, 702.865563, 1743.518903, 256.625000, 193.424393, 384.602365, 562.638426, 551.287338, 509.378213, 510.600323, 721.278109, 864.585601, 869.135775, 1094.291633, 2514.950319, 12250.302851, 1356005.382245, 5584.690608, 1702.081402, 1228.268947, 929.145934, 811.134504, 638.427061, 566.892784, 530.020107, 524.627415, 491.511494, lg
64721.000000, 627.593818, 1495.158513, 249.750000, 155.342537, 400.091791, 463.175990, 455.727083, 465.138381, 530.488406, 522.201082, 576.955261, 561.569005, 817.641286, 2159.600682, 7378.819410, 1062794.122355, 4673.318975, 1255.317919, 845.938949, 643.697230, 508.995451, 494.948435, 566.097452, 455.330958, 467.771491, 412.302344, lg
52638.000000, 552.378493, 1397.418398, 225.250000, 162.143084, 350.750397, 471.598844, 385.366690, 411.198149, 376.535519, 415.124704, 498.481097, 563.982602, 732.341170, 1928.031114, 8931.248320, 893505.120954, 5388.908827, 1384.630818, 943.085764, 636.766307, 485.901307, 367.548472, 410.511072, 412.502618, 385.823089, 443.732754, lg
78528.000000, 680.119107, 1712.011327, 307.375000, 173.115535, 394.080940, 633.285145, 575.283308, 610.878970, 591.248266, 673.773981, 734.189221, 768.161866, 1079.061513, 2239.203620, 9972.777916, 1280261.518153, 7152.098437, 1912.893076, 1060.788971, 766.539605, 705.242343, 624.396074, 609.710138, 583.945149, 586.996284, 591.655120, lg
84171.000000, 712.202921, 1766.714862, 311.125000, 230.962663, 404.316739, 582.484105, 675.384588, 624.024577, 626.715922, 651.353878, 811.304360, 900.682259, 1007.803986, 2944.350687, 14381.110436, 1420979.562170, 6145.433819, 1987.946674, 1065.826267, 935.842483, 708.963376, 606.097719, 675.756850, 629.607959, 654.823821, 509.875282, lg
30164.000000, 418.226015, 1038.381818, 148.625000, 128.299465, 267.879144, 233.811800, 267.475845, 270.068507, 230.855862, 299.316832, 336.089478, 389.593676, 612.591006, 1695.064561, 7822.125297, 501530.396704, 2497.161950, 853.236122, 586.894315, 401.908204, 298.802373, 252.924493, 265.008366, 290.611392, 256.933636, 147.400626, lg
83965.000000, 708.441247, 1738.330086, 292.375000, 170.479798, 379.402146, 610.243048, 587.575223, 596.568606, 627.528318, 680.573146, 750.168780, 928.739234, 1038.006553, 2750.627385, 13105.198453, 1316504.778942, 5592.153519, 1728.274389, 1124.180586, 865.728828, 709.306580, 612.921836, 655.656302, 638.090214, 582.275765, 496.074471, lg
28617.000000, 389.739657, 914.440692, 171.125000, 129.466504, 270.563946, 284.645063, 231.121400, 223.095964, 252.887485, 237.826038, 308.367828, 345.759711, 414.811838, 993.618222, 5336.336424, 427116.909811, 962.875318, 605.555834, 346.719455, 387.454912, 266.225182, 216.971120, 236.264650, 227.988136, 243.946145, 143.220380, lg
49818.000000, 531.904127, 1252.038672, 178.375000, 136.488230, 304.570183, 298.447561, 320.575246, 314.871955, 393.957721, 433.243596, 479.697486, 490.385434, 730.134282, 1851.173768, 5895.192696, 730577.242327, 2821.845316, 1027.267211, 676.548001, 576.724503, 426.611540, 359.990594, 421.614754, 324.250836, 310.154953, 248.109509, lg
66222.000000, 645.257313, 1534.330086, 275.500000, 180.660870, 348.631884, 474.358469, 521.919294, 507.533634, 511.720917, 595.808751, 636.095562, 742.910912, 851.348195, 1944.518429, 8143.634018, 1053900.968689, 5211.406147, 1568.430842, 965.271773, 744.398387, 619.286332, 570.841528, 541.400080, 529.602906, 510.118439, 437.856571, lg
433334.000000, 1481.228207, 3486.130301, 673.375000, 341.260771, 785.965986, 1731.335381, 1786.333176, 2089.125500, 1765.839721, 1872.418073, 1618.531703, 2121.029085, 2105.210456, 2824.324580, 9044.941708, 5330368.354824, 4767.720646, 2436.418561, 2187.070146, 2198.385560, 1627.874259, 1947.110589, 1718.916306, 2047.261928, 1837.423010, 1468.882871, me
554113.000000, 1880.771384, 4196.716088, 740.375000, 389.865192, 980.541338, 2552.786913, 1924.084440, 2152.852519, 2233.930205, 2724.180290, 2504.317845, 2428.631125, 2392.374349, 3099.698488, 8742.276564, 7911522.272167, 7171.376964, 3006.440557, 2532.248291, 2504.719496, 2424.998393, 2682.981369, 2299.709895, 2125.041755, 1967.090507, 2509.536048, me
595963.000000, 2124.147123, 4652.625684, 734.750000, 317.405198, 1115.640752, 2477.285428, 2171.828770, 2588.072498, 2352.685387, 3028.573506, 3206.949437, 4252.569863, 3056.170630, 4422.051203, 11558.485454, 10063418.099695, 6724.842582, 4046.526784, 3207.455734, 4087.786732, 3777.294073, 2429.821229, 2498.607798, 2383.514487, 2185.126170, 2376.883739, me
685811.000000, 129.757466, 318.166522, 31.625000, 300.628866, 107.106529, 26.792436, 27.895119, 28.180920, 66.216906, 58.634162, 30.540520, 44.411055, 60.468812, 166.427719, 825.896425, 114258.957782, 188.563311, 105.908621, 83.010136, 41.283210, 25.061023, 59.053633, 61.482079, 27.242433, 23.552066, 19.478157, me
829758.000000, 2160.144903, 5096.658439, 1212.125000, 435.503484, 1095.413576, 3244.723818, 3143.261206, 3745.549489, 4333.560729, 3537.174131, 2844.142664, 3356.284588, 3445.082541, 4613.326038, 15989.868951, 10761176.322897, 13149.108521, 4525.915993, 3653.450551, 3293.175390, 2844.309574, 3563.331183, 4364.486638, 3767.885542, 3191.803376, 3182.625393, me
601575.000000, 1901.502827, 4282.973014, 895.625000, 411.217574, 965.204157, 1966.007493, 2845.377026, 2622.319903, 2364.024611, 2522.157709, 3318.357474, 2629.109524, 2411.519833, 3930.326220, 11017.672887, 7913092.522476, 5278.817533, 3562.635353, 2460.230082, 2697.159707, 3311.180629, 2356.126354, 2346.680495, 2760.366284, 2779.810353, 1697.270022, me
644748.000000, 1857.409486, 4249.090763, 906.875000, 374.373383, 925.727225, 1974.736608, 2784.575562, 2837.625089, 3132.404270, 2424.932105, 2516.371412, 3177.825006, 2910.973638, 3457.964317, 10750.103268, 7649036.345983, 6690.507078, 3263.081464, 3180.080524, 3085.820003, 2510.674191, 2486.675224, 3145.037445, 2813.634872, 2727.601866, 1733.230811, me
503513.000000, 1827.805788, 4102.906997, 897.875000, 460.468237, 914.728916, 1915.561354, 3211.283821, 1701.930366, 2546.170434, 2754.299100, 2335.304215, 2835.653177, 2701.817763, 2675.686102, 8425.244999, 7456779.480571, 5186.406168, 2149.067431, 2935.631837, 2802.500230, 2303.518874, 2809.260753, 2571.071408, 1709.980587, 3207.901260, 1876.148280, me
411550.000000, 197.306868, 453.102597, 159.875000, 513.788114, 113.379845, 122.441717, 125.380099, 51.655966, 46.750056, 58.440692, 56.795084, 92.589239, 62.209459, 247.794374, 2509.928046, 241081.253413, 176.891878, 126.841703, 103.396351, 75.817347, 53.599387, 46.963434, 51.335751, 132.526119, 121.959694, 22.510087, me
398473.000000, 114.725760, 267.438600, 39.500000, 595.897541, 64.045082, 37.671943, 22.071921, 25.028185, 53.566537, 45.782670, 49.581434, 52.850459, 33.847931, 138.487864, 1843.027610, 159154.054758, 164.503195, 72.506594, 69.286088, 28.964504, 58.187746, 47.045015, 41.985142, 20.606234, 19.912601, 18.175262, me
90219.000000, 434.843650, 1239.182900, 302.750000, 300.909434, 420.505660, 486.818436, 469.578483, 381.966275, 347.931643, 419.557480, 436.164527, 364.088654, 430.077880, 680.930951, 2777.622166, 824179.343836, 1348.781362, 585.980830, 455.961676, 421.360894, 440.253367, 416.655588, 347.870098, 434.372293, 445.172874, 377.923745, pe
616565.000000, 1538.385192, 4197.749709, 775.125000, 566.026201, 744.226255, 1723.685576, 2639.837024, 2626.960125, 1979.769038, 2511.550425, 2344.104834, 3047.168998, 2653.566998, 4303.634644, 10470.328675, 7006409.888594, 6090.417875, 3993.113585, 2920.136871, 3105.858682, 2237.878949, 2543.629172, 1997.526449, 2699.128161, 2618.911374, 1546.148329, pe
465754.000000, 166.769302, 365.254834, 17.000000, 471.943343, 101.764873, 29.765423, 29.958849, 23.930296, 34.096219, 42.717407, 43.272551, 54.126989, 61.746464, 202.382593, 1114.023176, 199366.140131, 213.591343, 152.430619, 91.103705, 54.340530, 42.671122, 36.784478, 37.500626, 30.668817, 30.008341, 21.705236, pe
613578.000000, 101.607086, 233.705627, 29.375000, 382.805405, 43.081081, 20.241522, 21.218965, 23.053869, 25.654031, 20.783478, 24.051104, 48.799707, 40.200782, 90.843305, 912.880899, 80094.732997, 91.772201, 59.099133, 58.026898, 40.263337, 18.971704, 34.284238, 19.386571, 21.767523, 22.565107, 8.869224, pe
277542.000000, 55.946403, 141.781746, 26.000000, 262.141667, 29.900000, 10.797604, 9.216720, 21.989616, 16.112403, 19.034823, 15.459796, 7.482324, 15.247925, 75.877869, 2672.934931, 32566.501550, 37.077043, 37.074599, 20.018416, 16.660876, 16.110075, 22.184744, 19.170441, 12.496894, 10.062799, 0.000000, pe
293462.000000, 22.360680, 68.284271, 3.500000, 541.918033, 188.836066, 3.113602, 3.163332, 1.096503, 2.322513, 4.581747, 6.230731, 1.721490, 4.879613, 31.564973, 658.112167, 35016.657842, 9.171292, 19.393667, 10.086594, 1.306433, 2.425380, 4.562454, 3.815704, 1.029392, 1.742116, 0.824948, pe
522192.000000, 31.622777, 88.284271, 3.500000, 399.938272, 24.814815, 4.038742, 3.948204, 1.548172, 3.318260, 6.313533, 7.813365, 3.155334, 6.961419, 56.681760, 1165.734140, 32633.795866, 19.826087, 24.666523, 15.566844, 2.419955, 3.717592, 5.194868, 5.609419, 1.475693, 2.704329, 0.760383, pe
627840.000000, 309.076042, 687.445743, 158.750000, 464.617978, 157.325843, 152.836369, 171.921335, 93.314379, 109.550046, 256.312623, 321.644309, 171.698685, 117.355271, 300.931945, 1688.821581, 402671.987832, 304.368207, 246.391440, 154.716354, 222.561974, 260.915154, 262.737828, 101.969954, 111.449645, 174.715425, 114.325018, pe
736536.000000, 1861.543983, 4932.585279, 813.500000, 581.159284, 925.248106, 2814.997117, 2873.250567, 2730.263900, 2587.721337, 2688.879928, 3226.511013, 3452.339897, 3767.179837, 5102.954133, 13942.458339, 10089282.024951, 9980.916532, 4913.702614, 3807.814644, 3603.418681, 3186.223984, 2674.150207, 2684.567920, 2749.596241, 2937.128262, 2638.919942, pe
763268.000000, 415.654905, 890.735065, 102.500000, 654.907910, 226.270366, 170.665095, 162.799820, 194.381889, 188.582249, 251.955061, 233.087713, 350.897582, 305.968245, 733.798084, 2772.807516, 767065.897050, 508.166897, 599.226587, 351.210277, 306.982283, 202.602405, 248.355467, 217.607721, 165.219323, 165.749076, 100.381655, pe
513963.000000, 46.065171, 121.154329, 21.500000, 251.849057, 35.726415, 12.275537, 16.182057, 17.424775, 11.568749, 11.568420, 10.716934, 15.370582, 73.639182, 29015.556191, 517.722691, 44.428931, 30.529376, 11.933205, 9.220392, 16.914293, 15.658169, 17.278170, 6.454247, 0.000000, 0.000000, 0.000000, pe
671047.000000, 1687.822266, 4785.047399, 1220.625000, 559.135020, 838.990731, 3835.423474, 3029.044138, 3150.881960, 2500.903730, 2135.225101, 3444.638614, 2962.598836, 2670.207187, 4267.460581, 17470.300548, 8626601.712729, 9383.584592, 3496.780058, 2943.981662, 3007.382300, 3405.827467, 2061.677368, 2568.627097, 3180.066679, 3144.400853, 3559.005213, pe
